id,conversation_id,customer_message,context,intent,expected_escalation,historical_resolution
AMZ-001,272,amazonのfireTVstickが見れない😢,CUSTOMER: amazonのfireTVstickが見れない😢 | BRAND: @115770 こんにちは、アマゾン公式です。Fire TV Stickが見れないというのは、どのような状況でしょうか。一般的なトラブルシューティングを記載したヘルプがございますので、ご参照ください。https://t.co/2pbG55qJ7h ET | CUSTOMER: @AmazonHelp ありがとうございます。 今、電話で主人が対応していただいてます。 | CUSTOMER: @AmazonHelp 電話で対応してもらいましたが改良されませんでした。 保証期間も過ぎてるので買い直しになるんでしょうね。 | BRAND: @115770 カスタマーサービスにてお問い合わせ済みとのことで、お手数をおかけいたしました。リプライいただきありがとうございました。ET | CUSTOMER: @AmazonHelp こちらこそありがとうございました。,DEVICE_OR_DIGITAL_SERVICE_ISSUE,AUTO_HANDLE,"Brand linked a help/contact page. First reply: ""@115770 こんにちは、アマゾン公式です。Fire TV Stickが見れないというのは、どのような状況でしょうか。一般的なトラブルシューティングを記載したヘルプがございますので、ご参照ください。https://t.co/2pbG55qJ7h ET"""
AMZ-002,617,Way to drop the ball on customer service @115821 so pissed right now!,"CUSTOMER: Way to drop the ball on customer service @115821 so pissed right now! | BRAND: @115820 I'm sorry we've let you down! Without providing any personal information, will you describe the issue? We'd love to help. ^TN | CUSTOMER: @AmazonHelp 3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day | BRAND: @115820 We'd like to take a further look into this with you! Please reach us by phone or chat here: https://t.co/hApLpMlfHN ^AG | CUSTOMER: @AmazonHelp I frankly don't have the patience for another chat with your ""customer service"" people today.",GENERAL_SERVICE_COMPLAINT,ESCALATE,"Brand apologised, linked a help/contact page, offered a phone/callback option. First reply: ""@115820 I'm sorry we've let you down! Without providing any personal information, will you describe the issue? We'd love to help. ^TN"""
AMZ-003,624,"@115825 also, beim Addams Family-Film in Prime sind Bild und Ton nicht wirklich synchron. Wie kommt's?","CUSTOMER: @115825 also, beim Addams Family-Film in Prime sind Bild und Ton nicht wirklich synchron. Wie kommt's? | BRAND: @115824 Hi, wir erhalten die Filme/Serien so vom jeweiligen Studio. Gebe ich aber direkt als Feedback dorthin weiter. Gruß ^JS | CUSTOMER: @AmazonHelp Okay, danke für die Info | BRAND: @115824 Wir haben zu danken. Schönen Abend noch. ^JS",PRIME_MEMBERSHIP_OR_SUBSCRIPTION,AUTO_HANDLE,"Brand replied without a clear resolution action. First reply: ""@115824 Hi, wir erhalten die Filme/Serien so vom jeweiligen Studio. Gebe ich aber direkt als Feedback dorthin weiter. Gruß ^JS"""
AMZ-004,643,"Bought an @115821 Echo Show and it won’t recognize a single @AmazonHelp account in our household. WTF, guys?","CUSTOMER: Bought an @115821 Echo Show and it won’t recognize a single @AmazonHelp account in our household. WTF, guys? | BRAND: @115834 Oh no, I'm sorry for the issues! For troubleshooting, please check out our Echo Help pages here: https://t.co/a31c4ynHES ^SG | CUSTOMER: @AmazonHelp Nothing there helped me with the Echo Show | CUSTOMER: @AmazonHelp Is the Echo Show no longer supported? | BRAND: @115834 The Echo Show is supported, please reach us for some live troubleshooting at your convenience: https://t.co/hApLpMlfHN ^DW | CUSTOMER: @AmazonHelp Hi ready for some help",ACCOUNT_ACCESS_OR_SECURITY,ESCALATE,"Brand apologised, linked a help/contact page, gave troubleshooting guidance. First reply: ""@115834 Oh no, I'm sorry for the issues! For troubleshooting, please check out our Echo Help pages here: https://t.co/a31c4ynHES ^SG"""
AMZ-005,646,.@AmazonHelp Item has not been delivered but tracking says it was handed to me over an hour ago... 2nd time this has happened. Sort it out https://t.co/42W82GcARk,CUSTOMER: .@AmazonHelp Item has not been delivered but tracking says it was handed to me over an hour ago... 2nd time this has happened. Sort it out https://t.co/42W82GcARk | BRAND: @115835 I'm so sorry you didn't receive your parcel! We'd like a chance to look into this with you here: https://t.co/JzP7hlA23B ^SY | CUSTOMER: @AmazonHelp That page is useless - doesn’t allow me to state it hasn’t been delivered; only tells me it has! How can you sort this out? | BRAND: @115835 You can also request a call back here Martin https://t.co/zH8UlhTGcc ^KM,DELIVERY_NOT_RECEIVED_BUT_MARKED_DELIVERED,ESCALATE,"Brand apologised, linked a help/contact page, offered a phone/callback option. First reply: ""@115835 I'm so sorry you didn't receive your parcel! We'd like a chance to look into this with you here: https://t.co/JzP7hlA23B ^SY"""
AMZ-006,652,@AmazonHelp Is it possible to prevent AMZL from delivering my packages moving forward? Stuff is either lost/stolen/broken EVERY time.,"CUSTOMER: @AmazonHelp Is it possible to prevent AMZL from delivering my packages moving forward? Stuff is either lost/stolen/broken EVERY time. | BRAND: @115838 Oh no! We want to hear more about your experience with AMZL. Please provide your feedback here: https://t.co/hApLpMlfHN ^SH | CUSTOMER: @AmazonHelp I don't want a form to fill out that logs a response no one reads. I want to prevent AMZL from touching my stuff. Possible, or no? | BRAND: @115838 Is there a current order you're having difficulties with? Please let us know, we'd like to help! ^KL | CUSTOMER: @AmazonHelp Already started the return. UPS gets it from my doorstep tomorrow. Order 111-5014070-4118645 | BRAND: @115838 Provide your details here: https://t.co/6f6cWZv7vm and my team will escalate the order to Amazon Logistics for feedback. ^EZ",ITEM_DAMAGED_WRONG_OR_COUNTERFEIT,ESCALATE,"Brand apologised, linked a help/contact page, requested order/account details, said it would escalate internally. First reply: ""@115838 Oh no! We want to hear more about your experience with AMZL. Please provide your feedback here: https://t.co/hApLpMlfHN ^SH"""
AMZ-007,659,"@115821, it’d be nice if the book I waited 4 months for wasn’t damaged inside of an undented box. #twinpeaks #twin… https://t.co/Lac4K7iQzJ https://t.co/JroqJKrH9Q","CUSTOMER: @115821, it’d be nice if the book I waited 4 months for wasn’t damaged inside of an undented box. #twinpeaks #twin… https://t.co/Lac4K7iQzJ https://t.co/JroqJKrH9Q | BRAND: @115839 I'm sorry your book arrived this way! You can find replacement/refund options here: https://t.co/zRrkpVcaDF ^VS | CUSTOMER: @AmazonHelp Already handled, just venting. It was a pretty big bummer. | BRAND: @115839 Let us know if there’s anything else we can do for you! We're happy to help out any way we can! ^FR",ITEM_DAMAGED_WRONG_OR_COUNTERFEIT,ESCALATE,"Brand apologised, linked a help/contact page, pointed to refund/replacement options. First reply: ""@115839 I'm sorry your book arrived this way! You can find replacement/refund options here: https://t.co/zRrkpVcaDF ^VS"""
AMZ-008,667,"Anna Inspired in idea lab at school to be @115821 package being shipped to Narnia! ""Amazon can go anywhere"" according to Anna. https://t.co/TyvKhuu7su","CUSTOMER: Anna Inspired in idea lab at school to be @115821 package being shipped to Narnia! ""Amazon can go anywhere"" according to Anna. https://t.co/TyvKhuu7su | BRAND: @115843 You're not lion! She even shows witch way is up! That's quite the wardrobe! ^AC | CUSTOMER: @AmazonHelp Aww your reply made her night!",OTHER_NON_ACTIONABLE,AUTO_HANDLE,"Brand replied without a clear resolution action. First reply: ""@115843 You're not lion! She even shows witch way is up! That's quite the wardrobe! ^AC"""
AMZ-009,682,How @115821 packages china https://t.co/fO9vbus18E,CUSTOMER: How @115821 packages china https://t.co/fO9vbus18E | BRAND: @115848 We're always looking for ways to improve and we'd like to hear your feedback on this packaging: https://t.co/vjMFYkFFd1 ^KN | CUSTOMER: @AmazonHelp Doesn’t work for vine orders. Also got pureology conditioning mask that was opened and leaking. | CUSTOMER: @115821 https://t.co/Gb0beuA3IN | BRAND: @115848 I'm sorry for the trouble this has caused you; please contact us so we may lend you a hand: https://t.co/hApLpMlfHN ^WM,OTHER_NON_ACTIONABLE,AUTO_HANDLE,"Brand apologised, linked a help/contact page. First reply: ""@115848 We're always looking for ways to improve and we'd like to hear your feedback on this packaging: https://t.co/vjMFYkFFd1 ^KN"""
AMZ-010,690,@115850 @115821 @AmazonHelp @115851 Order# 3632693-6196346. You couldn't deliver EVEN AFTER A MONTH. You should be ashamed of yourself.,"CUSTOMER: @115850 @115821 @AmazonHelp @115851 Order# 3632693-6196346. You couldn't deliver EVEN AFTER A MONTH. You should be ashamed of yourself. | BRAND: @115849 Apologies for the delay in delivery of your order, James. We'd like to take a closer look. 1/2 ^HD | BRAND: @115849 Please report this to our support team here: https://t.co/TdDksLo6Mf and we'll look into this. 2/2 ^HD | CUSTOMER: @AmazonHelp Already contacted 3-4 times in the last month. But all I got was assurance that matter is escalated &amp; new status will be provided in 1 day! | CUSTOMER: @AmazonHelp It's more than ONE MONTH for something that should have taken 2 days. 'Apologies' won't work. Please do some real work &amp; get it delivered. | BRAND: @115849 I understand your concern, James. Allow me to take a closer look. 1/2 ^HD",DELIVERY_LATE_OR_NOT_ARRIVED,ESCALATE,"Brand linked a help/contact page, requested order/account details, said it would escalate internally. First reply: ""@115849 Apologies for the delay in delivery of your order, James. We'd like to take a closer look. 1/2 ^HD"""
AMZ-011,1695,@115821 my order hasn’t arrived (it was due 14th October). Can you help?,CUSTOMER: @115821 my order hasn’t arrived (it was due 14th October). Can you help? | BRAND: @116081 Hey Georgia! Sorry you haven't received your package. We'd love to help! What does the current tracking say on your order? ^AJ | CUSTOMER: @AmazonHelp Thanks for quick response. Pic attached. https://t.co/yNhYE638YS | CUSTOMER: @AmazonHelp but I can’t find the options to cancel or re-order? | BRAND: @116081 I'm sorry for the delay! We'd like to take a further look into this with you! Please reach us here: https://t.co/hApLpMlfHN ^AG,DELIVERY_LATE_OR_NOT_ARRIVED,AUTO_HANDLE,"Brand apologised, linked a help/contact page. First reply: ""@116081 Hey Georgia! Sorry you haven't received your package. We'd love to help! What does the current tracking say on your order? ^AJ"""
AMZ-012,1699,@AmazonHelp I called customer service and was told my membership wouldn't be renewed. I was just charged today. How do I get a refund? https://t.co/SeoQUsA0VA,CUSTOMER: @AmazonHelp I called customer service and was told my membership wouldn't be renewed. I was just charged today. How do I get a refund? https://t.co/SeoQUsA0VA | BRAND: @116082 Canceling your Prime membership can be done here:https://t.co/MlOxxuNX7N. You'll be shown your estimated refund there. ^SK | CUSTOMER: @AmazonHelp Thats the thing I told customer service. I created a new email address for the Prime trial and forgot it. What can I do so I'm not charged? | BRAND: @116082 Hey Corey! Even on the new account you made you can turn of the auto renew through the same link ^SK posted for you. ^AJ | CUSTOMER: @AmazonHelp You have to log in. I don't remember the email address I used. Can you look up the account by my bank information? | CUSTOMER: @AmazonHelp I tried my phone number but I didnt have a mobile account. I went through this for 2 hours on the phone with someone.,REFUND_STATUS_OR_AMOUNT,ESCALATE,"Brand linked a help/contact page, offered a phone/callback option, pointed to refund/replacement options. First reply: ""@116082 Canceling your Prime membership can be done here:https://t.co/MlOxxuNX7N. You'll be shown your estimated refund there. ^SK"""
