id,customer_message,drafted_reply,llm_helpfulness,llm_grounded,llm_safe,llm_acceptable,judge_reason
AMZ-143,Hey @115850 @AmazonHelp I need an update on my refund! Can you help?,Hello! I'm sorry for the wait regarding your refund. I'd like to take a closer look at this for you. Please reach out to us here: https://www.amazon.com/contact-us so we can assist you further.,5,5,5,5,"The reply is professional, empathetic, and provides a direct, secure channel for the customer to resolve their specific issue, aligning well with standard support practices."
AMZ-040,@116875 ¿como puedo trackear si esta próximo a ser entregado un paquete que tiene fecha de hoy? Gracias,"¡Hola! Para verificar el estado de tu entrega, puedes revisar el enlace de seguimiento en tu correo de confirmación. Si necesitas asistencia adicional, por favor contacta a nuestro equipo de Servicio al Cliente aquí: https://www.amazon.com.mx/contactus ^AM",4,5,5,5,"The reply is helpful, grounded in standard Amazon support procedures, and safe. It provides the correct path for the customer to get personalized assistance since the tracking information is limited."
AMZ-011,@115821 my order hasn’t arrived (it was due 14th October). Can you help?,I'm sorry to hear your order hasn't arrived as expected. I'd like to look into this for you. Could you please check the current tracking status on your order page and let us know what it says? ^AG,5,5,5,5,"The reply is helpful, professional, and follows the established protocol of asking for tracking information to investigate the delay, consistent with the historical evidence."
AMZ-169,@116618 I'm having problems watching. Its always freezing or buffering.,I'm sorry to hear you're having trouble with buffering. Could you please let me know which device you are using to watch? We'd like to help get this sorted out for you.,2,5,5,2,The drafted reply ignores the fact that the customer already provided the device information (Samsung and Roku) in the previous turn of the conversation.
AMZ-079,@AmazonHelp so I pay extra for overnight shipping and you guys are gonna delay my package for another 2-4 days? i'd like a full refund 1/2,"I am very sorry for the delay with your order. One-Day shipping refers to the transit time in business days once an order has shipped. If we have missed the delivery date in your order confirmation email, please reach out to us here: https://amzn.to/38q3i9y",5,5,5,5,"The reply is professional, addresses the customer's concern regarding shipping definitions, and provides the correct, grounded link for further assistance as per historical resolution evidence."
AMZ-066,@115821 I’ve had nothing but trouble with 2/3 of my orders this month and I’m starting to doubt my continuing my prime membership,I am very sorry to hear about the trouble you have had with your recent orders. We would like to look into this for you. Please reach out to us via chat or phone here: https://www.amazon.com/contact-us so we can assist you further.,5,5,5,5,"The drafted reply is professional, empathetic, and provides a direct, secure link for the customer to resolve their issues, aligning perfectly with historical resolution patterns."
AMZ-063,Hasta que al fin pude comprar algo en @115821 😌,@117496 ¡Qué buena noticia! Nos alegra mucho saber que pudiste realizar tu compra. ¡Esperamos que disfrutes mucho de tu pedido! ^AM,5,5,5,5,"The reply is polite, relevant to the customer's positive sentiment, and aligns with the brand's tone established in the historical evidence."
AMZ-045,@115821 still don't know if my order has shipped or not.. BUT at least I'm a good person! https://t.co/hzYEL3qL7r,"I'm sorry for the frustration! We'd love to help, but we're unable to access your account via Twitter. You can check your order status here: https://amzn.to/3s5W06v. If you need further assistance, please contact us here: https://amzn.to/3s5W06v. ^AM",2,4,5,2,"The reply is repetitive, providing the same link twice, and fails to address the customer's specific complaint that the link provided in the previous turn did not work for them."
AMZ-039,"Hey @115821, maybe don't ask people to pay $8 for ""launch day arrival"" if you're not going to ship the package until the day after launch!",I'm sorry for the frustration regarding your delivery. Could you please send us a DM with your order details so we can look into the status of your shipment and the delivery promise for you?,5,5,5,5,"The reply is professional, acknowledges the customer's frustration, and provides a clear next step to resolve the specific tracking discrepancy."
AMZ-152,@115821 is 0/3 on orders being delivered this week. All three Prime orders that were due to be delivered haven’t arrived.,I am very sorry to hear that your orders have not arrived as expected. I would like to look into this for you. Could you please share the most recent tracking updates for these orders with us via DM so we can assist you further?,5,5,5,5,"The reply is professional, empathetic, and provides a clear path to resolution by requesting the necessary information via a secure channel (DM)."
AMZ-126,@117093 supervisor Jennifer just hung up on me after refusing 2 provide protocol 4 handling the GreenInsulatedCarriers AF delivers in. downtown Condos need 2 understand how 2 work w/this new service R small front halls R not designed 4 this service. Was hoping 2 collaborate,I am very sorry to hear about your experience and the frustration this has caused. I would like to have a member of our team look into this for you. Please share your details with us here: https://amazon.com/contactus so we can assist you further. ^AM,2,5,5,3,"The reply is safe and grounded, but it fails to address the customer's specific, repeated request for the tote disposition protocol, instead offering a generic contact link which the customer has already expressed frustration with."
AMZ-035,@AmazonHelp infórmese... no voy a perder más mi tiempo...,"Lamentamos los inconvenientes. Para poder ayudarte de manera adecuada y revisar tu caso, por favor envíanos los detalles a través de este enlace: https://www.amazon.es/contactus. Quedamos atentos para asistirte.",5,5,5,5,"The reply is professional, empathetic, and provides a direct, secure channel for the customer to resolve their issue, aligning with standard support protocols."
AMZ-136,@118919 @119356 अगर आप नोकिया 6 mobile को समय पर नही पहुंचा पाते हैं customer को तो क्यों आप नोकिया का फ़ोन बेचते है,हमें यह जानकर खेद है कि आपको अपने ऑर्डर के साथ परेशानी हो रही है। कृपया इस लिंक पर अपनी जानकारी साझा करें ताकि हम इसकी जांच कर सकें: https://www.amazon.in/gp/help/customer/contact-us हम आपकी सहायता के लिए तैयार हैं।,5,5,5,5,"The reply is professional, empathetic, and provides the correct official link for the customer to resolve their delivery issue, aligning with standard support protocols."
AMZ-107,@AmazonHelp what the hell is going on?! Today's last day to deliver and still not shipped!! Should I pledge that I won't ever order from u?!,"I am very sorry for the frustration regarding your order's status. Since I cannot access your account details here, please reach out to us via our official contact page at https://www.amazon.com/contact-us so our team can look into this for you immediately.",4,5,5,5,"The reply is professional, acknowledges the customer's frustration, and provides a direct, secure way to resolve the issue while correctly stating the limitations of the social media channel."
AMZ-015,"I ordered some parts of my costume late, but my amazon has a map of the driver and they're like, 6 houses away.",I'm sorry for the wait! Could you please check your current order status here: https://t.co/Y5jpI9gRhE? Let us know what you see so we can look into this further.,5,5,5,5,"The drafted reply is helpful, grounded in historical evidence, safe, and professional."
AMZ-174,Hey @115821 wth does this mean? How can the iOS app on the phone be offline? #AmazonEcho https://t.co/bsAmAY4b38,I'm sorry to hear you're seeing an offline error in your app. Please try uninstalling and reinstalling the Alexa app on your device to see if that resolves the issue. Let us know how it goes!,2,5,5,2,The drafted reply ignores the customer's follow-up information that they have already tried reinstalling the app and that the issue is specifically related to multi-room music groups.
AMZ-154,"@117795 Now that I’m streaming to your Prime Do U have audio assisted movies, TV, etc. as I am visually impaired. ?",That is a great question! We do offer Audio Descriptions for many titles on Prime Video. You can find more information on how to identify and enable these features here: https://www.amazon.com/gp/help/customer/display.html?nodeId=G879654765,5,5,5,5,"The reply is helpful, accurate, and provides a direct, functional link to the help page regarding Audio Descriptions, addressing the customer's specific accessibility needs."
AMZ-061,@115821 So for the 4th time the package I ordered was tossed onto my property instead of being left on my front porch. It was raining. Package wet. I’ve complained repeatedly to no avail. Since Amazon switched from USPS to local delivery Svc the SERVICE is terrible.,I am very sorry to hear about the condition of your package and the repeated delivery issues. We would like to look into this for you. Could you please let us know the carrier for this delivery and reach out to us here: https://amzn.to/38q3i4T,5,5,5,5,"The reply is empathetic, addresses the customer's specific complaint, and provides a clear path to resolution by asking for the carrier and providing a link for further assistance."
AMZ-064,I know it’s nearly xmas but seriously I ordered a book from @115821 due to arrive 23rd Oct and still don’t have it or know where it is???,I am very sorry to hear your book hasn't arrived as expected. I would like to look into this for you. Please reach out to us here so we can investigate the status of your order: https://www.amazon.com/contact-us,5,5,5,5,"The reply is professional, empathetic, and provides a direct, secure link for the customer to resolve their specific order issue, aligning with standard support protocols."
AMZ-119,@AmazonHelp when do you guys charge for the Xbox one X I preordered? It ships the 6th.,Thanks for reaching out! You will be charged for your order once it ships out.,5,5,5,5,"The drafted reply is accurate, concise, and directly addresses the customer's question based on established company policy and historical evidence."
AMZ-138,@115830 thank you for delaying my package again and again. Not like I wanted it or anything,I'm very sorry for the repeated delays with your package. I understand how frustrating this is. Please reach out to us via chat or phone at https://amazon.com/contact-us so we can look into the status of your order and assist you further.,5,5,5,5,"The reply is empathetic, acknowledges the customer's frustration, and provides a direct, secure path for resolution by directing them to the official contact page."
AMZ-150,"My @116090 package we supposed to be delivered yesterday, but I wasn't home so the courier left a notice to re-deliver the next day","I'm sorry to hear your package hasn't arrived as expected. Could you please check the tracking link for any updates? If you don't receive the package or an update today, please let us know so we can look into this further for you.",4,5,5,5,"The reply is helpful, grounded in standard support procedures, safe, and professional. It acknowledges the customer's frustration and provides a clear path forward."
AMZ-129,@115821 logistics doing a laughably terrible job of delivering my package. Anyone else noticing a serious dip in customer service?,I am very sorry to hear about your recent delivery experience. We would like to look into this further for you. Could you please reach out to us at https://amazon.com/contact-us so we can investigate what happened?,4,5,5,5,"The reply is professional, acknowledges the customer's frustration, and provides a direct, secure channel for further investigation, which is appropriate given the customer's request for escalation."
AMZ-059,"@115850 I have stopped ordering from your site, Amazon courier guys are very rude. I have given similar complaints to u no of tyms.",I am very sorry to hear about your experience with our delivery team. I would like to look into this further for you. Please reach out to us here: https://amzn.to/38q3i8p so we can assist you directly.,5,5,5,5,"The reply is professional, empathetic, and provides a secure link for the customer to share details, consistent with established support protocols."
AMZ-156,"@115821 hi, can you guys give me the country code of amazon usa. amazon gave me headaches..","I'm sorry to hear about the trouble you've been having. If you need to reach us internationally, you can dial +1-206-266-2992. Please let us know if there is anything else we can assist you with.",5,5,5,5,"The reply directly addresses the customer's request for the country code/contact number using the verified information from the historical evidence and maintains a professional, helpful tone."
AMZ-106,@AmazonHelp AMZL US,I'm sorry to hear you've had a negative experience with our delivery service. We'd like to look into this for you. Please share more details with us here: https://t.co/zUIZ61Nac2 so we can escalate this to our logistics team. ^AM,5,5,5,5,"The reply is professional, helpful, and follows the established protocol for handling Amazon Logistics (AMZL) complaints by directing the customer to the secure escalation link."
AMZ-164,@115821 what is the use of Prime Membership if I am not getting my parcel on time.,I am very sorry to hear your delivery is delayed. We would like to look into this for you. Please reach out to us via chat or phone here: https://amzn.to/3m8n8lC so we can assist you further.,5,5,5,5,"The drafted reply is professional, empathetic, and provides a direct, secure link for the customer to resolve their specific delivery issue, aligning with standard support protocols."
AMZ-112,@115821 why is your AMZL US shipping service not show more updates online? I had another package with this not delivered.,I am sorry to hear about the trouble with your recent deliveries. Are you currently waiting on a specific order that has been delayed? Please send us a DM so we can look into this for you. ^QJ,5,5,5,5,"The reply is helpful, grounded in the provided context and historical evidence, safe, and professional."
AMZ-170,"@115850 I am a amazon prime user, I don’t see great offers nor I see any difference between prime and non prime, what’s the point then ?","We're sorry to hear you feel this way. Prime members enjoy benefits like fast, free delivery, Prime Early Access to deals, and exclusive savings. You can review all your membership perks here: https://www.amazon.com/prime. If you need further help, please reach out to us.",5,5,5,5,"The drafted reply is professional, addresses the customer's concern directly, provides accurate information consistent with Prime benefits, and includes a helpful link."
AMZ-001,amazonのfireTVstickが見れない😢,@115770 こんにちは、アマゾン公式です。Fire TV Stickが正常に動作しないとのこと、ご不便をおかけしております。まずは以下のヘルプページに記載のトラブルシューティングをお試しいただけますでしょうか。https://www.amazon.co.jp/gp/help/customer/display.html?nodeId=G201495390,2,5,5,2,"The drafted reply ignores the context that the customer has already spoken to phone support and concluded the device is likely broken, making the generic troubleshooting link redundant and slightly insensitive."
