id,customer_message,historical_resolution,drafted_reply,llm_helpfulness,llm_grounded,llm_safe,llm_acceptable,human_helpfulness,human_grounded,human_safe,human_acceptable,human_notes
AMZ-011,@115821 my order hasn’t arrived (it was due 14th October). Can you help?,"[sim 1.000 conv 1695] CUST: @115821 my order hasn’t arrived (it was due 14th October). Can you help? -> AMZN: @116081 Hey Georgia! Sorry you haven't received your package. We'd love to help! What does the current tracking say on y ;; [sim 0.213 conv 15700] CUST: Hey @115850 @AmazonHelp I need an update on my refund! Can you help? -> AMZN: @119452 You may track your refunds using the link: https://t.co/LjYILTJREp. Please keep us posted. ^GS ;; [sim 0.182 conv 2549] CUST: @AmazonHelp Hi, I ordered an item on 18 Oct which said it would be delivered by 20 Oct and I still haven't received it.  -> AMZN: @116314 I'm sorry you haven't received it yet! Have you had an e-mail regarding the order? Please check junk/spam and le",I'm sorry to hear your order hasn't arrived as expected. I'd like to look into this for you. Could you please check the current tracking status on your order page and let us know what it says? ^AG,5,5,5,5,5,5,5,5,"Directly addresses the late order and asks for tracking status, matching historical support."
AMZ-066,@115821 I’ve had nothing but trouble with 2/3 of my orders this month and I’m starting to doubt my continuing my prime membership,"[sim 1.000 conv 9120] CUST: @115821 I’ve had nothing but trouble with 2/3 of my orders this month and I’m starting to doubt my continuing my prime m -> AMZN: @117631 Without posting account information, could you provide us with a few details about the issue? We'd like to help! ;; [sim 0.240 conv 17216] CUST: @115821 what is the use of Prime Membership if I am not getting my parcel on time. -> AMZN: @119791 We're sorry for the delay in the delivery of your order. Please contact us here: https://t.co/vlvfJr4nN9 and we' ;; [sim 0.177 conv 1736] CUST: Two fake items in one day. Time to cancel my Amazon Prime membership. @AmazonHelp -> AMZN: @116091 Oh no! I'm so sorry to hear this. Was the item sold by Amazon directly or Third-party seller: https://t.co/aaDyE",I am very sorry to hear about the trouble you have had with your recent orders. We would like to look into this for you. Please reach out to us via chat or phone here: https://www.amazon.com/contact-us so we can assist you further.,5,5,5,5,4,5,5,5,Appropriate escalation to Amazon support; could be slightly more specific about the order issue.
AMZ-015,"I ordered some parts of my costume late, but my amazon has a map of the driver and they're like, 6 houses away.","[sim 1.000 conv 1718] CUST: I ordered some parts of my costume late, but my amazon has a map of the driver and they're like, 6 houses away. -> AMZN: @116087 I'm sorry for the long wait; what is your current order status showing when you review it: https://t.co/Y5jpI9gR ;; [sim 0.140 conv 11603] CUST: @amazonhelp My order 113-8951188-2020217 says ""Left in mailroom"" but my house doesn't have a mailroom and I've been home -> AMZN: @118235 Oh no! Have you checked the mailbox? These steps may help locate the order: https://t.co/7jZ5OuoXoK. Keep us pos ;; [sim 0.121 conv 1713] CUST: @AmazonHelp if I add another adult to my Amazon household (with their own account) can they see my wishlists/photos/orde -> AMZN: @116085 Thanks for reaching out to us! You can find info on adding household members here: https://t.co/i3uumZzaok ^MO",I'm sorry for the wait! Could you please check your current order status here: https://t.co/Y5jpI9gRhE? Let us know what you see so we can look into this further.,5,5,5,5,5,5,5,5,Clear next step and closely matches the historical resolution.
AMZ-001,amazonのfireTVstickが見れない😢,"[sim 1.000 conv 272] CUST: amazonのfireTVstickが見れない😢 -> AMZN: @115770 こんにちは、アマゾン公式です。Fire TV Stickが見れないというのは、どのような状況でしょうか。一般的なトラブルシューティングを記載したヘルプがございますので、ご参照ください。https://t.co/2pbG55q ;; [sim 0.206 conv 14851] CUST: 03-6635-1381
Amazonの有料動画未納発生
のメールきたら注意して
架空請求だから

検索して良かったわ。あぶねえ。 -> AMZN: @119213 (*´-`).｡oO(ご存知かと思いますが、当サイトからのご請求ではございませんので、ご連絡されませんように。。)
また、携帯大手3社をご利用の場合には、迷惑メール対策として、申告窓口を設置しています。今後受信しないためにも ;; [sim 0.083 conv 11426] CUST: Amazonでケーブル買って今日届くはずなのにまだ届かないんだが😇 -> AMZN: @118191 ご迷惑をおかけしております。状況をお調べした上でご案内させていただきますので、恐れ入りますが、ご注文商品がAmazonが発送する商品の場合は、こちらのリンクよりカスタマーサービスにお問い合わせください。https://t.c",@115770 こんにちは、アマゾン公式です。Fire TV Stickが正常に動作しないとのこと、ご不便をおかけしております。まずは以下のヘルプページに記載のトラブルシューティングをお試しいただけますでしょうか。https://www.amazon.co.jp/gp/help/customer/display.html?nodeId=G201495390,2,5,5,2,5,5,5,5,Gives relevant Fire TV troubleshooting and an official help resource in Japanese.
AMZ-143,Hey @115850 @AmazonHelp I need an update on my refund! Can you help?,"[sim 1.000 conv 15700] CUST: Hey @115850 @AmazonHelp I need an update on my refund! Can you help? -> AMZN: @119452 You may track your refunds using the link: https://t.co/LjYILTJREp. Please keep us posted. ^GS ;; [sim 0.213 conv 1695] CUST: @115821 my order hasn’t arrived (it was due 14th October). Can you help? -> AMZN: @116081 Hey Georgia! Sorry you haven't received your package. We'd love to help! What does the current tracking say on y ;; [sim 0.210 conv 2559] CUST: @AmazonHelp hello, I’m having an issue with a same day ship order.  Can you help me? -> AMZN: @116317 Hello! We'd love to help. Can you tell us a bit more about what's happening? ^EB",Hello! I'm sorry for the wait regarding your refund. I'd like to take a closer look at this for you. Please reach out to us here: https://www.amazon.com/contact-us so we can assist you further.,5,5,5,5,3,4,5,4,"Safe and reasonable, but less useful than the historical refund-tracking guidance."
AMZ-059,"@115850 I have stopped ordering from your site, Amazon courier guys are very rude. I have given similar complaints to u no of tyms.","[sim 1.000 conv 5789] CUST: @115850 I have stopped ordering from your site, Amazon courier guys are very rude. I have given similar complaints to u  -> AMZN: @117088 Apologies for this unpleasant experience. I'd like to take a closer look. 1/2 ^HD ;; [sim 0.144 conv 15279] CUST: @AmazonHelp 408-9273159-6369903.replacement ordered from 24th Oct.no1 contact me.Really worst courier service from Amazo -> AMZN: @119353 That's strange. Let us help you out here. Please drop your details here: https://t.co/TjZa6SQ9Hz (1/2) ^VM ;; [sim 0.132 conv 16474] CUST: @115821  hi, can you guys give me the country code of amazon usa. amazon  gave me headaches.. -> AMZN: @119449  I'm sorry for the trouble! You can dial +1-206-266-2992 to reach us internationally. ^BT",I am very sorry to hear about your experience with our delivery team. I would like to look into this further for you. Please reach out to us here: https://amzn.to/38q3i8p so we can assist you directly.,5,5,5,5,5,5,5,5,Appropriate response to the courier complaint and provides a private support route.
AMZ-170,"@115850 I am a amazon prime user, I don’t see great offers nor I see any difference between prime and non prime, what’s the point then ?","[sim 1.000 conv 17634] CUST: @115850 I am a amazon prime user, I don’t see great offers nor I see any difference between prime and non prime, what’s  -> AMZN: @119901 know more prime benefits here: https://t.co/SNrRNxbF4n 2/2 ^SH ;; [sim 0.193 conv 11017] CUST: Hey @115821 What’s the point of preordering a game if I don’t get it until 5 days after release? -> AMZN: @118078 I'm sorry for the frustration! Did you select Release-Date Delivery at checkout? ^AC ;; [sim 0.140 conv 17216] CUST: @115821 what is the use of Prime Membership if I am not getting my parcel on time. -> AMZN: @119791 We're sorry for the delay in the delivery of your order. Please contact us here: https://t.co/vlvfJr4nN9 and we'","We're sorry to hear you feel this way. Prime members enjoy benefits like fast, free delivery, Prime Early Access to deals, and exclusive savings. You can review all your membership perks here: https://www.amazon.com/prime. If you need further help, please reach out to us.",5,5,5,5,5,5,5,5,Directly answers the Prime-benefits concern with relevant information.
AMZ-039,"Hey @115821, maybe don't ask people to pay $8 for ""launch day arrival"" if you're not going to ship the package until the day after launch!","[sim 1.000 conv 4864] CUST: Hey @115821, maybe don't ask people to pay $8 for ""launch day arrival"" if you're not going to ship the package until the -> AMZN: @116851 I'm sorry for the poor experience, Skylar. Were you given a reason for the delay? Check here: https://t.co/KhGfg ;; [sim 0.248 conv 2568] CUST: Hey @115821, why is your Prime 2-day delivery not arriving until Monday? Is there a holiday I don't know about? -> AMZN: @116320 Most items are readily available for shipping; however, some aren't and may have a longer processing time than o ;; [sim 0.223 conv 11017] CUST: Hey @115821 What’s the point of preordering a game if I don’t get it until 5 days after release? -> AMZN: @118078 I'm sorry for the frustration! Did you select Release-Date Delivery at checkout? ^AC",I'm sorry for the frustration regarding your delivery. Could you please send us a DM with your order details so we can look into the status of your shipment and the delivery promise for you?,5,5,5,5,4,4,5,4,"Reasonable escalation, although it doesn't directly address the $8 launch-day delivery complaint."
AMZ-156,"@115821 hi, can you guys give me the country code of amazon usa. amazon gave me headaches..","[sim 1.000 conv 16474] CUST: @115821  hi, can you guys give me the country code of amazon usa. amazon  gave me headaches.. -> AMZN: @119449  I'm sorry for the trouble! You can dial +1-206-266-2992 to reach us internationally. ^BT ;; [sim 0.132 conv 5789] CUST: @115850 I have stopped ordering from your site, Amazon courier guys are very rude. I have given similar complaints to u  -> AMZN: @117088 Apologies for this unpleasant experience. I'd like to take a closer look. 1/2 ^HD ;; [sim 0.129 conv 16758] CUST: @AmazonHelp fuck you guys. Canceling Prime. Not gonna do business with you guys ever again. -> AMZN: @119697 This isn't how we want you to feel. We'd like to help, if possible. Please let us know more about what's going. ","I'm sorry to hear about the trouble you've been having. If you need to reach us internationally, you can dial +1-206-266-2992. Please let us know if there is anything else we can assist you with.",5,5,5,5,5,5,5,5,Directly answers the country-code request using the historical resolution.
AMZ-035,@AmazonHelp infórmese... no voy a perder más mi tiempo...,"[sim 1.000 conv 3745] CUST: @AmazonHelp infórmese... no voy a perder más mi tiempo... -> AMZN: @116616 David, te recomendamos no compartir informaciones personales por este medio, te sugerimos editar o eliminar este ;; [sim 0.104 conv 11624] CUST: @AmazonHelp AMZL US -> AMZN: @117955 Please provide your details here: https://t.co/zUIZ61Nac2 and my team will escalate to Amazon Logistics. ^EZ ;; [sim 0.096 conv 16448] CUST: @AmazonHelp こんにちは。先日Amazonギフト券チャージのやり方を教えていただいた者です。チャージが終了しアカウントに登録されたのですが、買い物でお支払い方法のコード入力とはどこに書かれてあるのですか？「次に進む」が表示されず買 -> AMZN: @119622 こんにちは、お問い合わせありがとうございます。ギフト券をチャージ済みの場合、コード入力は不要です。次に進めないとのことであれば、金額が不足している可能性がございます。出品者発送ですと別途送料が発生したり、お急ぎ便の代金が加算","Lamentamos los inconvenientes. Para poder ayudarte de manera adecuada y revisar tu caso, por favor envíanos los detalles a través de este enlace: https://www.amazon.es/contactus. Quedamos atentos para asistirte.",5,5,5,5,3,3,5,4,"Reasonable private-support direction, but the vague Spanish complaint isn't really addressed and the historical response was more specific about privacy."
