id,conversation_id,customer_message,context,expected_intent,predicted_intent,expected_escalation,predicted_escalation,escalation_reason,historical_resolution,drafted_reply,human_helpfulness,human_grounded,human_safe,human_acceptable,human_notes
AMZ-143,15700,Hey @115850 @AmazonHelp I need an update on my refund! Can you help?,CUSTOMER: Hey @115850 @AmazonHelp I need an update on my refund! Can you help? | BRAND: @119452 You may track your refunds using the link: https://t.co/LjYILTJREp. Please keep us posted. ^GS | CUSTOMER: @AmazonHelp Hi. This is where I'm stuck. When will you initiate the pick up? https://t.co/bVTocnrC1k | BRAND: @119452 Sorry for the delay in pickup. Kindly contact us here: https://t.co/rS49hgaADF and we'll get the pick up done. ^SY | CUSTOMER: @AmazonHelp How many times will the pick-up be rescheduled? https://t.co/oQuGBF84QS | BRAND: @119452 Apologies for the trouble with the pick up of the order. I'd like to take a closer look at this. ^AK (1/3),REFUND_STATUS_OR_AMOUNT,RETURN_OR_REPLACEMENT_REQUEST,ESCALATE,AUTO_HANDLE,"Informational request within a known intent, supported by similar historical evidence (top similarity 1.000).","[sim 1.000 conv 15700] CUST: Hey @115850 @AmazonHelp I need an update on my refund! Can you help? -> AMZN: @119452 You may track your refunds using the link: https://t.co/LjYILTJREp. Please keep us posted. ^GS ;; [sim 0.213 conv 1695] CUST: @115821 my order hasn’t arrived (it was due 14th October). Can you help? -> AMZN: @116081 Hey Georgia! Sorry you haven't received your package. We'd love to help! What does the current tracking say on y ;; [sim 0.210 conv 2559] CUST: @AmazonHelp hello, I’m having an issue with a same day ship order.  Can you help me? -> AMZN: @116317 Hello! We'd love to help. Can you tell us a bit more about what's happening? ^EB",Hello! I'm sorry for the wait regarding your refund. I'd like to take a closer look at this for you. Please reach out to us here: https://www.amazon.com/contact-us so we can assist you further.,,,,,
AMZ-040,4952,@116875 ¿como puedo trackear si esta próximo a ser entregado un paquete que tiene fecha de hoy? Gracias,"CUSTOMER: @116875 ¿como puedo trackear si esta próximo a ser entregado un paquete que tiene fecha de hoy? Gracias | BRAND: @116874 ¡Hola, Quirino! Lamentamos cualquier confusión generada, ¿te has puesto en contacto con el transportista asignado a la entrega? ^LC | CUSTOMER: @AmazonHelp No. Como puedo contactarlo | BRAND: @116874 Quirino al ingresar al correo de confirmación de compra te aparecerá un enlace en el cual esta el número de guía de tu pedido. También puedes utilizar la siguiente información para contactar con el transportista: https://t.co/mEKBC5rf63 ^PC | CUSTOMER: @AmazonHelp Solo dice “en reparto” pero no tiene un número de contacto con el repartidor que es de Amazon Services 😩 | BRAND: @116874 Gracias por la información, Quirino. Por favor, contacta con nuestros colegas de Servicio al Cliente para una atención personalizada y puedan darte información precisa sobre tu paquete. Lo puedes hacer a través del siguiente enlace: https://t.co/beR78zMMYB ^LC",DELIVERY_LATE_OR_NOT_ARRIVED,DELIVERY_LATE_OR_NOT_ARRIVED,AUTO_HANDLE,AUTO_HANDLE,"Informational request within a known intent, supported by similar historical evidence (top similarity 1.000).","[sim 1.000 conv 4952] CUST: @116875 ¿como puedo trackear si esta próximo a ser entregado un paquete que tiene fecha de hoy? Gracias -> AMZN: @116874 ¡Hola, Quirino! Lamentamos cualquier confusión generada, ¿te has puesto en contacto con el transportista asignad ;; [sim 0.162 conv 11572] CUST: Me ha tocado un inepto en @4496 keiere gestionar la recogida de mi pakete de @115821 se monta su ruta y yo como penelope -> AMZN: @118229 Hola.¿Cuál es la fecha de entrega de tu pedido? ^JJ ;; [sim 0.155 conv 5296] CUST: Jamas volvere a comprar en @116875 :'v -> AMZN: @116926 ¡Hola! Lamentamos cualquier molestia ocasionada, ¿puedes contarnos lo sucedido? ^LC","¡Hola! Para verificar el estado de tu entrega, puedes revisar el enlace de seguimiento en tu correo de confirmación. Si necesitas asistencia adicional, por favor contacta a nuestro equipo de Servicio al Cliente aquí: https://www.amazon.com.mx/contactus ^AM",,,,,
AMZ-011,1695,@115821 my order hasn’t arrived (it was due 14th October). Can you help?,CUSTOMER: @115821 my order hasn’t arrived (it was due 14th October). Can you help? | BRAND: @116081 Hey Georgia! Sorry you haven't received your package. We'd love to help! What does the current tracking say on your order? ^AJ | CUSTOMER: @AmazonHelp Thanks for quick response. Pic attached. https://t.co/yNhYE638YS | CUSTOMER: @AmazonHelp but I can’t find the options to cancel or re-order? | BRAND: @116081 I'm sorry for the delay! We'd like to take a further look into this with you! Please reach us here: https://t.co/hApLpMlfHN ^AG,DELIVERY_LATE_OR_NOT_ARRIVED,DELIVERY_LATE_OR_NOT_ARRIVED,AUTO_HANDLE,AUTO_HANDLE,"Informational request within a known intent, supported by similar historical evidence (top similarity 1.000).","[sim 1.000 conv 1695] CUST: @115821 my order hasn’t arrived (it was due 14th October). Can you help? -> AMZN: @116081 Hey Georgia! Sorry you haven't received your package. We'd love to help! What does the current tracking say on y ;; [sim 0.213 conv 15700] CUST: Hey @115850 @AmazonHelp I need an update on my refund! Can you help? -> AMZN: @119452 You may track your refunds using the link: https://t.co/LjYILTJREp. Please keep us posted. ^GS ;; [sim 0.182 conv 2549] CUST: @AmazonHelp Hi, I ordered an item on 18 Oct which said it would be delivered by 20 Oct and I still haven't received it.  -> AMZN: @116314 I'm sorry you haven't received it yet! Have you had an e-mail regarding the order? Please check junk/spam and le",I'm sorry to hear your order hasn't arrived as expected. I'd like to look into this for you. Could you please check the current tracking status on your order page and let us know what it says? ^AG,,,,,
AMZ-169,17266,@116618 I'm having problems watching. Its always freezing or buffering.,CUSTOMER: @116618 I'm having problems watching. Its always freezing or buffering. | BRAND: @119799 We want to help but we need more information. Can you tell us more about what device you're using? ^EA | CUSTOMER: @AmazonHelp I have a samsung and roku tvs. On both models I have trouble watching. The roku the most. The samsung is better but I've experienced buffer | BRAND: @119799 I'm sorry to hear this. Please try these tips and let us know if it improves: https://t.co/PnaAaBPiBh ^BH,DEVICE_OR_DIGITAL_SERVICE_ISSUE,DEVICE_OR_DIGITAL_SERVICE_ISSUE,AUTO_HANDLE,AUTO_HANDLE,"Informational request within a known intent, supported by similar historical evidence (top similarity 1.000).","[sim 1.000 conv 17266] CUST: @116618 I'm having problems watching. Its always freezing or buffering. -> AMZN: @119799 We want to help but we need more information. Can you tell us more about what device you're using? ^EA ;; [sim 0.129 conv 3749] CUST: @116618 why your videos on Germany breaks too? -> AMZN: @116617 Have you already tried a restart? Kind regards ^NW ;; [sim 0.127 conv 2602] CUST: Rapidly losing faith in @115821 and their #esl CS ability to solve problems. No resolutions or follow ups. -> AMZN: @116325 Sorry for the poor experience. Without giving any account information, could you tell us what's going on? We'd l",I'm sorry to hear you're having trouble with buffering. Could you please let me know which device you are using to watch? We'd like to help get this sorted out for you.,,,,,
AMZ-079,9821,@AmazonHelp so I pay extra for overnight shipping and you guys are gonna delay my package for another 2-4 days? i'd like a full refund 1/2,"CUSTOMER: @AmazonHelp so I pay extra for overnight shipping and you guys are gonna delay my package for another 2-4 days? i'd like a full refund 1/2 | CUSTOMER: @AmazonHelp if thats the case because if I pay for overnight shipping/delivery i expect to get what I paid for. | BRAND: @117801 (2/2) If we’ve missed the date in our order confirmation e-mail, please let us know here: https://t.co/hApLpMlfHN! ^WT | BRAND: @117801 I'm sorry for the wait! One-Day shipping refers to transit time in business days once an order's shipped! (1/2)",DELIVERY_LATE_OR_NOT_ARRIVED,DELIVERY_LATE_OR_NOT_ARRIVED,AUTO_HANDLE,AUTO_HANDLE,"Informational request within a known intent, supported by similar historical evidence (top similarity 1.000).","[sim 1.000 conv 9821] CUST: @AmazonHelp so I pay extra for overnight shipping and you guys are gonna delay my package for another 2-4 days? i'd like -> AMZN: @117801 (2/2) If we’ve missed the date in our order confirmation e-mail, please let us know here: https://t.co/hApLpMlfH ;; [sim 0.231 conv 8537] CUST: @115821 why do I pay for 2 day shipping and it's going on 4 days. -> AMZN: @117499 (2/2) If we’ve missed the date in our order confirmation e-mail, please let us know here: https://t.co/hApLpMlfH ;; [sim 0.196 conv 16758] CUST: @AmazonHelp fuck you guys. Canceling Prime. Not gonna do business with you guys ever again. -> AMZN: @119697 This isn't how we want you to feel. We'd like to help, if possible. Please let us know more about what's going. ","I am very sorry for the delay with your order. One-Day shipping refers to the transit time in business days once an order has shipped. If we have missed the delivery date in your order confirmation email, please reach out to us here: https://amzn.to/38q3i9y",,,,,
AMZ-066,9120,@115821 I’ve had nothing but trouble with 2/3 of my orders this month and I’m starting to doubt my continuing my prime membership,"CUSTOMER: @115821 I’ve had nothing but trouble with 2/3 of my orders this month and I’m starting to doubt my continuing my prime membership | BRAND: @117631 Without posting account information, could you provide us with a few details about the issue? We'd like to help! ^WM | CUSTOMER: @AmazonHelp I got it sorted out, after multiple phone calls and failed chat sessions (those were horrible btw) | BRAND: @117631 Thanks for the update! I'm sorry about the order issues and your inconvenience, but glad that everything has been resolved. ^SE",PRIME_MEMBERSHIP_OR_SUBSCRIPTION,GENERAL_SERVICE_COMPLAINT,AUTO_HANDLE,AUTO_HANDLE,"Informational request within a known intent, supported by similar historical evidence (top similarity 1.000).","[sim 1.000 conv 9120] CUST: @115821 I’ve had nothing but trouble with 2/3 of my orders this month and I’m starting to doubt my continuing my prime m -> AMZN: @117631 Without posting account information, could you provide us with a few details about the issue? We'd like to help! ;; [sim 0.240 conv 17216] CUST: @115821 what is the use of Prime Membership if I am not getting my parcel on time. -> AMZN: @119791 We're sorry for the delay in the delivery of your order. Please contact us here: https://t.co/vlvfJr4nN9 and we' ;; [sim 0.177 conv 1736] CUST: Two fake items in one day. Time to cancel my Amazon Prime membership. @AmazonHelp -> AMZN: @116091 Oh no! I'm so sorry to hear this. Was the item sold by Amazon directly or Third-party seller: https://t.co/aaDyE",I am very sorry to hear about the trouble you have had with your recent orders. We would like to look into this for you. Please reach out to us via chat or phone here: https://www.amazon.com/contact-us so we can assist you further.,,,,,
AMZ-063,8522,Hasta que al fin pude comprar algo en @115821 😌,"CUSTOMER: Hasta que al fin pude comprar algo en @115821 😌 | CUSTOMER: @115821 Hasta que al fin llegó #BrBa https://t.co/7y2HKQlA2R | BRAND: @117496 Sin dudas, el mejor lugar para comer pollo frito. 🍗 ¡Nos alegra saber que recibiste tu pedido, Carl! :D ^CR",OTHER_NON_ACTIONABLE,OTHER_NON_ACTIONABLE,AUTO_HANDLE,AUTO_HANDLE,"Informational request within a known intent, supported by similar historical evidence (top similarity 1.000).","[sim 1.000 conv 8522] CUST: Hasta que al fin pude comprar algo en @115821 😌 -> AMZN: @117496 Sin dudas, el mejor lugar para comer pollo frito. 🍗 ¡Nos alegra saber que recibiste tu pedido, Carl! :D ^CR ;; [sim 0.301 conv 5296] CUST: Jamas volvere a comprar en @116875 :'v -> AMZN: @116926 ¡Hola! Lamentamos cualquier molestia ocasionada, ¿puedes contarnos lo sucedido? ^LC ;; [sim 0.100 conv 8516] CUST: @116875 Exijo mi reembolso inmediato ya que yo en ningún momento solicité dicha membresía ""prime"", hubo algún error.
Sol -> AMZN: @117495 Hola Mary. Para más detalles sobre como cancelar tu membresía de Amazon Prime, ingresa a: https://t.co/RPYF5xdYC",@117496 ¡Qué buena noticia! Nos alegra mucho saber que pudiste realizar tu compra. ¡Esperamos que disfrutes mucho de tu pedido! ^AM,,,,,
AMZ-045,5134,@115821 still don't know if my order has shipped or not.. BUT at least I'm a good person! https://t.co/hzYEL3qL7r,"CUSTOMER: @115821 still don't know if my order has shipped or not.. BUT at least I'm a good person! https://t.co/hzYEL3qL7r | BRAND: @116915 I'm sorry for the frustration! We'd love to help but are unable to access your Amazon account via Twitter. You can view the latest tracking information for your order, including if it has shipped, here: https://t.co/Y5jpI9gRhE ^LR | CUSTOMER: @AmazonHelp No, I can't check. It shows nothing. And customer service rep was NO help. | BRAND: @116915 If you would like to contact our support team via phone, please give us a call so we can review these details with you: 1-866-216-1072. ^WM",DELIVERY_LATE_OR_NOT_ARRIVED,DELIVERY_LATE_OR_NOT_ARRIVED,AUTO_HANDLE,AUTO_HANDLE,"Informational request within a known intent, supported by similar historical evidence (top similarity 1.000).","[sim 1.000 conv 5134] CUST: @115821 still don't know if my order has shipped or not.. BUT at least I'm a good person! https://t.co/hzYEL3qL7r -> AMZN: @116915 I'm sorry for the frustration! We'd love to help but are unable to access your Amazon account via Twitter. You c ;; [sim 0.250 conv 11053] CUST: @AmazonHelp it's been 7 days &amp; my @115821 order still hasn't shipped. #fail https://t.co/apV29xdWuM -> AMZN: @118084 I'm sorry that your package has not shipped! Did we miss the promised Delivery date found here: https://t.co/Y5j ;; [sim 0.225 conv 8527] CUST: I know it’s nearly xmas but seriously I ordered a book from @115821 due to arrive 23rd Oct and still don’t have it or kn -> AMZN: @117498 I'm sorry for the wait, Jamie! What's the current status of your order here: https://t.co/aaDyEz1VgE? ^SH","I'm sorry for the frustration! We'd love to help, but we're unable to access your account via Twitter. You can check your order status here: https://amzn.to/3s5W06v. If you need further assistance, please contact us here: https://amzn.to/3s5W06v. ^AM",,,,,
AMZ-039,4864,"Hey @115821, maybe don't ask people to pay $8 for ""launch day arrival"" if you're not going to ship the package until the day after launch!","CUSTOMER: Hey @115821, maybe don't ask people to pay $8 for ""launch day arrival"" if you're not going to ship the package until the day after launch! | BRAND: @116851 I'm sorry for the poor experience, Skylar. Were you given a reason for the delay? Check here: https://t.co/KhGfgWxX2q ^FD | CUSTOMER: @AmazonHelp They said it was UPS. UPS says they never received the package to deliver ¯\_(ツ)_/¯ | BRAND: @116851 To confirm, what does the latest tracking update show? Please check here: https://t.co/eR31oAnsW2 ^BE | CUSTOMER: @AmazonHelp Amazon's tracking says it's ""Shipped &amp; Arriving Today by 8pm"" but UPS Tracking shows just that a label is created.",DELIVERY_LATE_OR_NOT_ARRIVED,DELIVERY_LATE_OR_NOT_ARRIVED,AUTO_HANDLE,AUTO_HANDLE,"Informational request within a known intent, supported by similar historical evidence (top similarity 1.000).","[sim 1.000 conv 4864] CUST: Hey @115821, maybe don't ask people to pay $8 for ""launch day arrival"" if you're not going to ship the package until the -> AMZN: @116851 I'm sorry for the poor experience, Skylar. Were you given a reason for the delay? Check here: https://t.co/KhGfg ;; [sim 0.248 conv 2568] CUST: Hey @115821, why is your Prime 2-day delivery not arriving until Monday? Is there a holiday I don't know about? -> AMZN: @116320 Most items are readily available for shipping; however, some aren't and may have a longer processing time than o ;; [sim 0.223 conv 11017] CUST: Hey @115821 What’s the point of preordering a game if I don’t get it until 5 days after release? -> AMZN: @118078 I'm sorry for the frustration! Did you select Release-Date Delivery at checkout? ^AC",I'm sorry for the frustration regarding your delivery. Could you please send us a DM with your order details so we can look into the status of your shipment and the delivery promise for you?,,,,,
AMZ-152,16442,@115821 is 0/3 on orders being delivered this week. All three Prime orders that were due to be delivered haven’t arrived.,"CUSTOMER: @115821 is 0/3 on orders being delivered this week. All three Prime orders that were due to be delivered haven’t arrived. | BRAND: @119621 I apologize that we missed the mark. What is the most recent tracking update? You can find that here: https://t.co/Y5jpI9gRhE? ^BA | CUSTOMER: @AmazonHelp One of the items was supposed to be delivered yesterday but UPS is apparently yet to receive anything but a shipping label… | CUSTOMER: @AmazonHelp Another was due today, and up until 8pm said it would be. Now it says maybe later this week. How can it not even know which day? | CUSTOMER: @AmazonHelp What’s the point in me paying for prime shipping when things are just going to show up days after their estimates? No confidence. | BRAND: @119621 Unforeseen circumstances can cause delays and we appreciate your patience while we are working to get your packages delivered. ^TN",DELIVERY_LATE_OR_NOT_ARRIVED,DELIVERY_LATE_OR_NOT_ARRIVED,AUTO_HANDLE,AUTO_HANDLE,"Informational request within a known intent, supported by similar historical evidence (top similarity 1.000).","[sim 1.000 conv 16442] CUST: @115821 is 0/3 on orders being delivered this week. All three Prime orders that were due to be delivered haven’t arrived -> AMZN: @119621 I apologize that we missed the mark. What is the most recent tracking update? You can find that here: https://t. ;; [sim 0.176 conv 2549] CUST: @AmazonHelp Hi, I ordered an item on 18 Oct which said it would be delivered by 20 Oct and I still haven't received it.  -> AMZN: @116314 I'm sorry you haven't received it yet! Have you had an e-mail regarding the order? Please check junk/spam and le ;; [sim 0.172 conv 5131] CUST: @115821 the more I order from you guys, the more I'm going to stop being a customer....YOUR DRIVERS ARE USELESS. Once ag -> AMZN: @116914 I'm so sorry to hear your order was scanned as delivered when it wasn't. We'd like to help if we can. Just to co",I am very sorry to hear that your orders have not arrived as expected. I would like to look into this for you. Could you please share the most recent tracking updates for these orders with us via DM so we can assist you further?,,,,,
